,Unnamed: 0,title,lprice,category1,category2,title_bertWP
1073,1524,오페라글라스 니쿠라 콘서트 망원경 뮤지컬 쌍안경 10배율x22mm,6900,디지털/가전,광학기기/용품,오페라글라스 니 ##쿠 ##라 콘서트 망원경 뮤지컬 쌍안경 10 ##배 ##율 ##x ##22 ##mm
1074,1437,삼성전자 갤럭시탭 A7 Lite (SM-T220) WiFi 32GB,208790,디지털/가전,태블릿PC,삼성전자 갤럭시탭 A7 Lite ( SM - T ##22 ##0 ) WiFi 32GB
1075,148,라코스테 남성 케이블 가디건 HDE AH202E-53N,130580,패션의류,남성의류,라코스테 남성 케이블 가디건 HD ##E AH ##20 ##2E - 53N
1076,127,라코스테 라코스테 남녀공용 겨울 클래식핏 오가닉 코튼 기모 맨투맨,51050,패션의류,남성의류,라코스테 라코스테 남녀공용 겨울 클래식 ##핏 오 ##가 ##닉 코튼 기모 맨투맨
1077,1384,신지모루 갤럭시 S24 울트라 케이스 에어로핏 플러스 투명 슬림,12400,디지털/가전,휴대폰액세서리,신지모루 갤럭시 S24 울트라 케이스 에어로핏 플러스 투명 슬림
1078,1031,삼성전자 갤럭시 A34 5G 128GB [자급제],426950,디지털/가전,휴대폰,삼성전자 갤럭시 A34 5G 128GB [ 자급제 ]
1079,1246,에어메이드 AMH-8000,89900,디지털/가전,계절가전,에어메이드 AM ##H - 80 ##00
1080,1795,엔산마운트 엔산 OL-16,71900,디지털/가전,모니터주변기기,엔산 ##마운트 엔산 OL - 16
1081,134,시즈올 부드러운 40수 여성 면팬티 데일리 7종 세트 순면 모달 인견 여성팬티,11500,패션의류,여성언더웨어/잠옷,시 ##즈 ##올 부드러운 40 ##수 여성 면팬티 데일리 7종 세트 순면 모달 인견 여성팬티
1082,429,폴햄 여성 알래스카 구스 숏 푸퍼 G80/20 PHC4JP2220,54900,패션의류,여성의류,폴햄 여성 알래스카 구스 숏 푸퍼 G80 / 20 PHC4JP22 ##20
1083,897,로엠 싱글 퍼 자켓 RMJLD4TR12,64500,패션의류,여성의류,로엠 싱글 퍼 자켓 RMJLD4TR ##12
1084,1444,후지필름 X-T30 II,990000,디지털/가전,카메라/캠코더용품,후지필름 X - T ##30 II
1085,1179,아이엠듀 3in1 고속 무선충전기,31400,디지털/가전,휴대폰액세서리,아이엠듀 3in1 고속 무선충전기
1086,1570,캐논 셀피 CP1500,186980,디지털/가전,주변기기,캐논 셀 ##피 CP ##1500
1087,908,폴햄 여성 플리스 크롭 그래픽 맨투맨 PHD4TR2833,14900,패션의류,여성의류,폴햄 여성 플리스 크롭 그래픽 맨투맨 PHD4TR ##283 ##3
1088,126,세루티 22Winter 롱코트,34320,패션의류,여성의류,세 ##루 ##티 22 ##W ##in ##te ##r 롱코트
1089,1745,샌디스크 Ultra Luxe CZ74,8390,디지털/가전,저장장치,샌디스크 Ultra Luxe CZ ##74
1090,249,지베르니 여성 롱 패딩,30110,패션의류,여성의류,지 ##베 ##르 ##니 여성 롱 패딩
1091,672,숏클립 10 데온 퍼 논카라 더블 버튼 자켓 C,45820,패션의류,여성의류,숏 ##클 ##립 10 데 ##온 퍼 논 ##카라 더블 버튼 자켓 C
